,poem,author,title,length,themes,url
10,"O tower of light, sad beauty that magnified necklaces and statues in the sea, calcareous eye, insignia of the vast waters, cry of the mourning petrel, tooth of the sea, wife of the Oceanian wind, O separate rose from the long stem of the trampled bush that the depths, converted into archipelago, O natural star, green diadem, alone in your lonesome dynasty, still unattainable, elusive, desolate like one drop, like one grape, like the sea.",Pablo Neruda,Tower Of Light,75,,http://www.famouspoetsandpoems.com/poets/pablo_neruda/poems/15732
11,"When I cannot look at your face  I look at your feet.  Your feet of arched bone,  your hard little feet.  I know that they support you,  and that your sweet weight  rises upon them.  Your waist and your breasts,  the doubled purple  of your nipples,  the sockets of your eyes  that have just flown away,  your wide fruit mouth,  your red tresses,  my little tower.  But I love your feet  only because they walked  upon the earth and upon  the wind and upon the waters,  until they found me.",Pablo Neruda,Your Feet,90,,http://www.famouspoetsandpoems.com/poets/pablo_neruda/poems/15729
12,"The man with the red hat And the polar bear, is he here too?  The window giving on shade,  Is that here too?  And all the little helps,  My initials in the sky,  The hay of an arctic summer night?   The bear Drops dead in sight of the window. Lovely tribes have just moved to the north. In the flickering evening the martins grow denser. Rivers of wings surround us and vast tribulation. ",John Ashbery,Glazunoviana,73,,http://www.famouspoetsandpoems.com/poets/john_ashbery/poems/2689
13,"He came home. Said nothing.  It was clear, though, that something had gone wrong.  He lay down fully dressed.  Pulled the blanket over his head.  Tucked up his knees.  He's nearly forty, but not at the moment.  He exists just as he did inside his mother's womb,  clad in seven walls of skin, in sheltered darkness.  Tomorrow he'll give a lecture  on homeostasis in metagalactic cosmonautics.  For now, though, he has curled up and gone to sleep.",Wislawa Szymborska,Going Home,77,,http://www.famouspoetsandpoems.com/poets/wislawa_szymborska/poems/11679
14,"We never really slept, just buried clocks in the sanctuary  of night  every time I moved you moved with me, winged eyelashes on your cheek returns a kiss  small spaces of silence in between borrowed breaths arms tighten at the whisper of a name  all the words of the heart the unanswered questions are at this moment blue rolling waves  tonight our souls rest fragrant in spiritual essence candle-flamed, undamaged utterly belonging.",Eileen Carney Hulme,Belonging,72,,http://www.famouspoetsandpoems.com/poets/eileen_carney_hulme/poems/22703
15,"I wonder if you keep the letters still, spidery and blotted now, like old days just withered away.  I remember sunlight bursts that inspired those winged words, the spirit of spaces flying paper aeroplanes of love.  I picture us then- a perfect summers night calligraphy of stars burning Indian fire  and I wonder if you keep the letters still.",Eileen Carney Hulme,The Letters,59,,http://www.famouspoetsandpoems.com/poets/eileen_carney_hulme/poems/22707
16,"I lean into you, we bury down in the dunes  the breeze holds like a whisper you stroke my brown knees  your fingers are my unspoken thoughts  the silence is sensuous, suffuses like scent of sandalwood  I watch  the sea your hands the waves seep into my bones  the sky descends we sleep in blue.",Eileen Carney Hulme,Sleeping in Blue,55,,http://www.famouspoetsandpoems.com/poets/eileen_carney_hulme/poems/22708
17,"No matter that my heart sinks, sighs, with the weight of skeletons-  paths I forgot to follow have slowly sealed  rooms go unrecognised for fear of change  and I cry at the uncertainty of rainbows.  All the daydreams I stole, refusing to give them back  are stored as silver dust and each day is a small breath.",Eileen Carney Hulme,Small Breaths,57,,http://www.famouspoetsandpoems.com/poets/eileen_carney_hulme/poems/22706
18,"Like a deep blue wave of passion you shore into the room where I sit waiting quietly, open-booked.  We have moved through days, loss, pain to hold this moment, this picture postcard seascape of gentle harbouring.  You say  I knew you were here I could smell you and effortlessly I sway to seal my fate.  You taste of ocean, avenues of grassy dunes, like a magician you pluck a tiny pebble from my hair-  Ancient survivor, sun-kissed  on this summer afternoon, unconditionally I step out of my dress into your dream.",Eileen Carney Hulme,Indian Summer,91,,http://www.famouspoetsandpoems.com/poets/eileen_carney_hulme/poems/22704
19,When all the women in the transport had their heads shaved four workmen with brooms made of birch twigs swept up and gathered up the hair  Behind clean glass the stiff hair lies of those suffocated in gas chambers there are pins and side combs in this hair  The hair is not shot through with light is not parted by the breeze is not touched by any hand or rain or lips  In huge chests clouds of dry hair of those suffocated and a faded plait a pigtail with a ribbon pulled at school by naughty boys.,Tadeusz Rozewicz,Pigtail,97,,http://www.famouspoetsandpoems.com/poets/tadeusz_rozewicz/poems/16346
20,"I discover myself misplaced  winding through everlasting paths.  I dont belong at this point.  Yet, I yearn to feel,  taste and catch sight of  something real.  I have nothing to lose.  With gaping wounds  existence drifts away.  Pain and terror  develop into my pleasure.  Nothing is true.  I cant help being confused.  This is what I wanted all along. ",Claire Nixon,Confused,59,,http://www.famouspoetsandpoems.com/poets/claire_nixon/poems/22688
21,"Ive held you all these years,  supporting you through all.  I plead for your hand just this once,  then I realise I was always alone,  suffering with my hidden pain,  struggling with my past.  These wounds wont mend.  Im tired of being around,  caught up in my fears each day,  time cannot rub them out.  I try to tell myself to hold on,  as I wipe away my tears,  holding out my hand,  finding emptiness.  I feel myself slipping,  losing my sanity. ",Claire Nixon,Sanity,82,,http://www.famouspoetsandpoems.com/poets/claire_nixon/poems/22687
22,"What have I became  in this false fantasy?   Thriving on something sweet,    submerging into another world.     Without it I tumble      transforming into nothing.       I'm locked in a stalemate        not capable to stir.         Look closely through my eyes,         as deep as the end of sight.          See! My ailment and do           your very best to repair.            Save me from this ogre             I have become, before              I sit in a dark painful void...                  lost inside my addiction",Claire Nixon,Addiction,74,,http://www.famouspoetsandpoems.com/poets/claire_nixon/poems/22686
23,"This air is flooded with her.  I am a boy again, and my mother and I lie on wet grass, laughing.  She startles, turns to marigolds at my side, saying beautiful, and I can see the red there is in them.  When she would fall into her thoughts, we'd look for what distracted her from us.  My mother's gone again as suddenly as ever and, seven months after the funeral, I go dancing.  I am becoming grateful. Breathing, thinking, marigolds.",Forrest Hamer,Grace,80,,http://www.famouspoetsandpoems.com/poets/forrest_hamer/poems/16600
24,"The old woman made mint Candy for the children Who'd bolt through her front door, Silhouettes of the great blue  Heron.  She sold ten-dollar potions  From a half-lit kitchen.  Chinese boxes Furnished with fliers &amp; sinkers.  Sassafras &amp; lizard tongues.  They'd walk out  Of the woods or drive in from cities, Clutching lovesick dollar bills At a side door that opened beside A chinaberry tree.  Did their eyes  Doubt under Orion as voices Of the dead spoke?  They carried Photos, locks of hair, nail clippings, &amp; the first three words of a wish.",Yusef Komunyakaa,Potions,93,,http://www.famouspoetsandpoems.com/poets/yusef_komunyakaa/poems/17899
25,"Maud went to college. Sadie stayed home. Sadie scraped life With a fine toothed comb.  She didn't leave a tangle in Her comb found every strand. Sadie was one of the livingest chicks In all the land.  Sadie bore two babies Under her maiden name. Maud and Ma and Papa Nearly died of shame.  When Sadie said her last so-long Her girls struck out from home. (Sadie left as heritage Her fine-toothed comb.)  Maud, who went to college, Is a thin brown mouse. She is living all alone In this old house. ",Gwendolyn Brooks,Sadie and Maud,92,,http://www.famouspoetsandpoems.com/poets/gwendolyn_brooks/poems/20580
26,"I shall not sing a May song. A May song should be gay. I'll wait until November And sing a song of gray.  I'll wait until November That is the time for me. I'll go out in the frosty dark And sing most terribly.  And all the little people Will stare at me and say, ""That is the Crazy Woman Who would not sing in May.""",Gwendolyn Brooks,The Crazy Woman,66,['woman'],http://www.famouspoetsandpoems.com/poets/gwendolyn_brooks/poems/4138
27,"Now who could take you off to tiny life  In one room or in two rooms or in three  And cork you smartly, like the flask of wine  You are? Not any woman. Not a wife.  You'd let her twirl you, give her a good glee  Showing your leaping ruby to a friend.  Though twirling would be meek. Since not a cork  Could you allow, for being made so free.   A woman would be wise to think it well  If once a week you only rang the bell.",Gwendolyn Brooks,The Independent Man,88,,http://www.famouspoetsandpoems.com/poets/gwendolyn_brooks/poems/20576
28,We real cool. We Left School. We  Lurk late. We Strike straight. We  Sing sin. We Thin gin. We  Jazz June. We Die soon.,Gwendolyn Brooks,We Real Cool,24,,http://www.famouspoetsandpoems.com/poets/gwendolyn_brooks/poems/4140
29,"Indoors the tang of a tiny oil lamp. Outdoors The winking signal on the waste of sea. Indoors the sound of the wind. Outdoors the wind. Indoors the locked heart and the lost key.   Outdoors the chill, the void, the siren. Indoors The strong man pained to find his red blood cools, While the blind clock grows louder, faster. Outdoors The silent moon, the garrulous tides she rules.   Indoors ancestral curse-cum-blessing. Outdoors The empty bowl of heaven, the empty deep. Indoors a purposeful man who talks at cross Purposes, to himself, in a broken sleep.",Louis MacNeice,House On A Cliff,95,,http://www.famouspoetsandpoems.com/poets/louis_macneice/poems/14782
30,"Late have I called &amp; late my  beloved  was blessing me      I was covering  my breasts with my arms                    ""Those doves""                you said      In the sun          I took my arms away",Jean Valentine,Late,31,,http://www.famouspoetsandpoems.com/poets/jean_valentine/poems/17892
31,"Jane is big with death, Don sad and kind - Jane though she's dying is full of mind  We talk about the table the little walnut one how it's like Emily Dickinson's  But Don says No Dickinson's was made of iron. No said Jane Of flesh.",Jean Valentine,Elegy For Jane Kenyon,46,,http://www.famouspoetsandpoems.com/poets/jean_valentine/poems/17890
32,"So what use was poetry to a white empty house?  Wolf, swan, hare, in by the fire.  And when your tree crashed through your house,  what use then was all your power?  It was the use of you. It was the flower.",Jean Valentine,"To Plath, To Sexton",42,,http://www.famouspoetsandpoems.com/poets/jean_valentine/poems/17893
33,The cold slope is standing in darkness But the south of the trees is dry to the touch  The heavy limbs climb into the moonlight bearing feathers I came to watch these White plants older at night The oldest Come first to the ruins  And I hear magpies kept awake by the moon The water flows through its Own fingers without end  Tonight once more I find a single prayer and it is not for men,W. S. Merwin,December Night,76,,http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19934
34,In the evening all the hours that weren't used are emptied out and the beggars are waiting to gather them up to open them to find the sun in each one and teach it its beggar's name and sing to it It is well through the night  but each of us has his own kingdom of pains and has not yet found them all and is sailing in search of them day and night infallible undisputed unresting filled with a dumb use and its time like a finger in a world without hands,W. S. Merwin,Beggars And Kings,93,,http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19938
35,The star in my Hand is falling  All the uniforms know what's no use  May I bow to Necessity not To her hirelings,W. S. Merwin,Wish,23,,http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19927
36,At the last minute a word is waiting not heard that way before and not to be repeated or ever be remembered one that always had been a household word used in speaking of the ordinary everyday recurrences of living not newly chosen or long considered or a matter for comment afterward who would ever have thought it was the one saying itself from the beginning through all its uses and circumstances to utter at last that meaning of its own for which it had long been the only word though it seems now that any word would do,W. S. Merwin,Term,99,,http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19940
37,How long ago the day is when at last I look at it with the time it has taken to be there still in it now in the transparent light with the flight in the voices the beginning in the leaves everything I remember and before it before me present at the speed of light in the distance that I am who keep reaching out to it seeing all the time faster where it has never stirred from before there is anything the darkness thinking the light,W. S. Merwin,Any Time,87,,http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19925
38,Whenever I go there everything is changed  The stamps on the bandages the titles Of the professors of water  The portrait of Glare the reasons for The white mourning  In new rocks new insects are sitting With the lights off And once more I remember that the beginning  Is broken  No wonder the addresses are torn  To which I make my way eating the silence of animals Offering snow to the darkness  Today belongs to few and tomorrow to no one,W. S. Merwin,Whenever I Go There,81,,http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19936
39,Every year without knowing it I have passed the day When the last fires will wave to me And the silence will set out Tireless traveller Like the beam of a lightless star  Then I will no longer Find myself in life as in a strange garment Surprised at the earth And the love of one woman And the shamelessness of men As today writing after three days of rain Hearing the wren sing and the falling cease And bowing not knowing to what,W. S. Merwin,For The Anniversary Of My Death,84,['anniversary'],http://www.famouspoetsandpoems.com/poets/w__s__merwin/poems/19922
40,"Baby waits alone  in sandy shallows lying,   wretchedly crying  Dam marooned at sea  aware her calf is dying precious time expiring   Biped mammals strive  distressing trials appeasing cold denial teasing  infant but alive  languishing in tear-spilled eyes  watching her demise flukes and flippers raised weakened, trembling, resigning  euthanasia praised   I.D. Carswell  The Humpback whale calf was newly born when found in shallows, its umbilical still attached. Volunteers stayed with her for 24 hours however the mother was not located. She was euthanized to prevent further suffering. It was a sad but inevitable end.",Ivan Donn Carswell,Baby waits alone,93,,http://www.famouspoetsandpoems.com/poets/ivan_donn_carswell/poems/23090
41,"But I am not yet dead and yet I rest my head  sweetly on the bare gravestones of great poets,  I am not yet dead though I sleep soundly  in the graveyards with their bones;  it is an immaculate relief to me  that my thoughts freely accompany theirs,  that we share heirs and familiar themes, that they smile indulgently and ask  where I have been.  I.D. Carswell",Ivan Donn Carswell,Gravestone,67,,http://www.famouspoetsandpoems.com/poets/ivan_donn_carswell/poems/23281
42,"Ah, the aromas of that conversation,  the brimming, cappuccino smile  swirled in chocolate rich and cinnamoned,  the gentle coffee curlicues interlaced  in arabesques of creamy foam, redolent  upon your lips, lilted in the cup of your  countenance, glazed in syrup gilt.  Your words were velvet plumes  of soothing, honeyed dews  you tea-spooned in my mind,  the flavoured greetings savoured fleeting glimpses of delight,  the jasmine scented night tasting of Swiss  pastries, sugared and freshly baked.  I.D. Carswell",Ivan Donn Carswell,Cappuccino smile,77,,http://www.famouspoetsandpoems.com/poets/ivan_donn_carswell/poems/23099
43,"In a slow drawn focus the concrete  blocks that prop up my view of the sky  morph soft and easy like double  brie melting into a shirred close-up shot  of the pores and the craters and the  tiny colourless hairs that populate  this particular space, this winsome spot  near your chin on your handsome face.   I am not confused that rigid edged  substances surrounding us bend  and sweetly blend into the lines  of your mouth or the crinkles around  your eyes, I am not surprised for this house  is as much a part of as all of you.  I.D. Carswell",Ivan Donn Carswell,As much a part,100,,http://www.famouspoetsandpoems.com/poets/ivan_donn_carswell/poems/23088
44,"Colours in lamplight are previews,  scarcely eschewed as wave-length turbulence  tuned to closeness and friendship.  Colours in firelight are skin-warmed  glowings, harbouring contentment,  revealing intuitive insight.  Colours in moonlight are barely shown  shy smiles recalled with eidetic  intensity from reservoirs of sight. Colours in candlelight are filigree  reflections, decorative shimmers of sympathetic enchantment.  But in the hard light of day  they become flagrant solidities that get in the way of our true feelings.  I.D. Carswell",Ivan Donn Carswell,Colours in lamplight,75,,http://www.famouspoetsandpoems.com/poets/ivan_donn_carswell/poems/23104
45,"The beauty of manhole covers--what of that? Like medals struck by a great savage khan, Like Mayan calendar stones, unliftable, indecipherable, Not like the old electrum, chased and scored, Mottoed and sculptured to a turn, But notched and whelked and pocked and smashed With the great company names (Gentle Bethlehem, smiling United States). This rustproof artifact of my street, Long after roads are melted away will lie Sidewise in the grave of the iron-old world, Bitten at the edges, Strong with its cryptic American, Its dated beauty.",Karl Shapiro,Manhole Covers,87,,http://www.famouspoetsandpoems.com/poets/karl_shapiro/poems/18150
46,his approach  to love he said was that of a farmer most love like hunters and like hunters most kill what they desire he tills soil through toes nose in the wet earth he waits prays to the gods and slowly harvests ever thankful,Suheir Hammad,land,44,,http://www.famouspoetsandpoems.com/poets/suheir_hammad/poems/22461
47,the way loss seeps into neck hollows and curls at temples sits between front teeth cavity empty and waiting for mourning to open the way mourning stays forever shadowing vision shaping lives with memory a drawer won't close sleep elusive smile illusive the only real is grief forever counting the days minutes missing without knowing so that one day  you find yourself  showering tears missing that love like sugar  aches teeth,Suheir Hammad,the missing,71,,http://www.famouspoetsandpoems.com/poets/suheir_hammad/poems/22460
48,it is written the act of writing is holy words are sacred and your breath brings out the  god in them i write these words quickly repeat them softly to myself this talisman for you fold this prayer around your neck fortify your back with these whispers may you walk ever loved and in love know the sun for warmth the moon  for direction may these words always remind you your breath is sacred words bring out the god in you,Suheir Hammad,talisman,81,,http://www.famouspoetsandpoems.com/poets/suheir_hammad/poems/22462
49,"Once more he sees his companions' faces Livid in the first faint light, Gray with cement dust, Nebulous in the mist, Tinged with death in their uneasy sleep. At night, under the heavy burden Of their dreams, their jaws move, Chewing a non-existant turnip. 'Stand back, leave me alone, submerged people, Go away. I haven't dispossessed anyone, Haven't usurped anyone's bread. No one died in my place. No one. Go back into your mist. It's not my fault if I live and breathe, Eat, drink, sleep and put on clothes.'",Primo Levi,The Survivor,90,,http://www.famouspoetsandpoems.com/poets/primo_levi/poems/3720
50,"In the brutal nights we used to dream Dense violent dreams, Dreamed with soul and body: To return; to eat; to tell the story. Until the dawn command Sounded brief, low 'Wstawac' And the heart cracked in the breast.  Now we have found our homes again, Our bellies are full, We're through telling the story. It's time. Soon we'll hear again The strange command: 'Wstawac'   Translated by Ruth Feldman And Brian Swann",Primo Levi,Reveille,72,,http://www.famouspoetsandpoems.com/poets/primo_levi/poems/3718
51,"Griffin calls to come and kiss him goodnight I yell ok. Finish something I'm doing, then something else, walk slowly round the corner to my son's room. He is standing arms outstretched waiting for a bearhug. Grinning.  Why do I give my emotion an animal's name, give it that dark squeeze of death? This is the hug which collects all his small bones and his warm neck against me. The thin tough body under the pyjamas locks to me like a magnet of blood.  How long was he standing there like that, before I came?",Michael Ondaatje,Bearhug,95,,http://www.famouspoetsandpoems.com/poets/michael_ondaatje/poems/15883
52,"Two birds loved in a flurry of red feathers like a burst cottonball, continuing while I drove over them. I am a good driver, nothing shocks me.",Michael Ondaatje,Application For A Driving License,27,,http://www.famouspoetsandpoems.com/poets/michael_ondaatje/poems/15886
53,"On the warm July river head back  upside down river for a roof  slowly paddling towards an estuary between trees  there's a dog learning to swim near me friends on shore  my head dips back to the eyebrow I'm the prow on an ancient vessel, this afternoon I'm going down to Peru soul between my teeth  a blue heron with its awkward broken backed flap upside down  one of us is wrong  he his blue grey thud thinking he knows the blue way out of here  or me",Michael Ondaatje,(Inner Tube),88,,http://www.famouspoetsandpoems.com/poets/michael_ondaatje/poems/15888
54,I came alive when things went crazy. I pulled the plug on the reports of  sturm &amp; drang When someone signaled I  left open what I  could not close. I broke a  covenant that was more fierce than murder. I vent my wrath on animals pretending they will turn divine. I open up rare certainties that test free will. I take from animals a place in which the taste of death pours from their mouths &amp; drowns them. I support a  lesser surface. I draw comfort from the knowledge of their  being.,Jerome Rothenberg,I VENT MY WRATH ON ANIMALS,92,['animal'],http://www.famouspoetsandpoems.com/poets/jerome_rothenberg/poems/22390
55,"All erasure of pain is like the contrary of dust that weighs dark in my lungs when I am  feckless with disgust. I stroke &amp; poke my loins before  they tighten. My feet stomp fields of color reminding me of something I once knew. Dying frees the spirit from the mind. We plod along regardless of the pain. Soon we grow big &amp; fat. We stop forgetting, far off from whatever  binds us mindlessly to empty space. Beginning here we reignite desire. We will surrender  what is far from us &amp; call it love.",Jerome Rothenberg,FECKLESS WITH DISGUST,94,,http://www.famouspoetsandpoems.com/poets/jerome_rothenberg/poems/22391
56,"in the soft jazz and midnight hour your eyes are dancing close to mine a sway of hips, a touch of lips  while on the stand piano players fingers dance around the tune above a gentle touch caressing music from the bass  your fingers up and down my spine  in the soft jazz and midnight hour we lose ourselves in bluenote time",Adrian Green,Bluenote Time,62,,http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21843
57,"Some like to dominate, others caress a voluptuous rhythm on pliant strings.  This pulse drives life through wanton counterpoint, the heart and harmony of things.",Adrian Green,String Bass,25,,http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21842
58,"Drifting on a tide from long ago, They swing at anchor silently Wreathed in early morning mist, Like ghosts grown mellow with antiquity.  With names like Gladys, Will and Edith May Heroic legends motionless on ancient bows, They are waiting for the breeze, patiently Submissive to the whims of air and ebb.  Later, with windlass rattling as anchors are weighed, Sails set at the stirring of wind over tide They bear away a pageant of remembered trade -  A flock of stately seabirds through the lanes.",Adrian Green,Sailing Barges off Southend,86,,http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21846
59,"There are no lies  in the morning no cheating of age  an illusion of eye smoothing skin over bone.  No portrait hidden away becoming skeletal and demanding release.  Another day to face, my confessor, so laugh at this charting of years.",Adrian Green,Mirror,41,,http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21849
60,"Not blues in twelve but there is joy and pink champagne,  the makers music trading eights in syncopated synergy from Dixieland to Rock n Roll,  and here the cornet-master leads in tones a trumpet cannot blow.  The sidemen nod their harmonies, engrossed; their music coursing through an energy of swing;  piano-players fingers dancing round the tune; a lovers touch caressing melody from bass; and sax, deep throated tenor shouting counterpoint above the drums percussive ricochets.  Not blues in twelve, but upbeat late and shimmying like Sister Kate.  The cornet-master blows an emptiness away.",Adrian Green,Pink Champagne (for Digby Fairweather),93,,http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21845
61,"The curlew and the heron call, the hissing mud and whispering wings beat eery through the idle air until the moonlit midnight silence falls and then the tide flows softly through the gut and sluice of estuary sands and dark against the dreamlit sky the trees arise from hedgerows, and the hills alive with monstrous shapes are menacing with soundless fear, and still below the blundering man, the beery and uncertain head, the stubbled fields hold secrets now and silence fills the river bed.",Adrian Green,Walking on the Estuary Hill,84,,http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21847
62,New moon on the lake. Your voice and the nightingale  serenade springtime.  Full moon on the lake.  Your voice and the waterbirds  celebrate summer.  Old moon on the lake.  Owls hunting autumnal food - your voice still singing. ,Adrian Green,Luna Lake Haiku,38,['haiku'],http://www.famouspoetsandpoems.com/poets/adrian_green/poems/21848
63,If you place a fern under a stone the next day it will be nearly invisible as if the stone has  swallowed it.  If you tuck the name of a loved one under your tongue too long without speaking it it becomes blood sigh the little sucked-in breath of air hiding everywhere beneath your words.  No one sees the fuel that feeds you.,Naomi Shihab Nye,Hidden,63,,http://www.famouspoetsandpoems.com/poets/naomi_shihab_nye/poems/19539
64,"What is to be given, Is spirit, yet animal, Colored, like heaven, Blue, yellow, beautiful.  The blood is checkered by So many stains and wishes, Between it and the sky You could not choose, for riches.  Yet let me now be careful Not to give too much To one so shy and fearful For like a gun is touch.",Delmore Schwartz,What Is To Be Given,59,,http://www.famouspoetsandpoems.com/poets/delmore_schwartz/poems/18354
65,"At last the air fragrant, the bird's bubbling whistle Succinct in the unknown unsettled trees: O little Charles, beside the Georgian colleges And milltown New England; at last the wind soft, The sky unmoving, and the dead look Of factory windows separate, at last, From windows gray and wet:                                             for now the sunlight Thrashes its wet shellac on brickwalk and gutter, White splinters streak midmorning and doorstep, Winter passes as the lighted streetcar Moves at midnight, one scene of the past, Droll and unreal, stiff, stilted and hooded.",Delmore Schwartz,"Cambridge, Spring 1937",88,,http://www.famouspoetsandpoems.com/poets/delmore_schwartz/poems/18383
66,"By circumstances fed Which divide attention Among the living and the dead, Under the blooms of the blossoming sun, The gaze which is a tower towers Day and night, hour by hour, Critical of all and of one, Dissatisfied with every flower With all that's been done or undone, Converting every feature Into its own and unknown nature; So, once in the drugstore, Amid all the poppy, salve and ointment, I suddenly saw, estranged there, Beyond all disappointment, My own face in the mirror.",Delmore Schwartz,By Circumstances Fed,84,,http://www.famouspoetsandpoems.com/poets/delmore_schwartz/poems/18379
67,"""Trash, trash!"" the king my uncle said, ""The spirit's smoke and weak as smoke ascends. ""Sit in the sun and not among the dead, ""Eat oranges! Pish tosh! the car attends.  ""All ghosts came back. they do not like it there, ""No silky water and no big brown bear,  ""No beer and no siestas up above."" ""Uncle,"" I said, ""I'm lonely. What is love?""  This drove him quite insane. Now he must knit Time and apperception, bit by tiny bit.",Delmore Schwartz,Concerning The Synthetic Unity Of Apperception,80,,http://www.famouspoetsandpoems.com/poets/delmore_schwartz/poems/18372
68,"O Love, dark animal, With your strangeness go Like any freak or clown: Appease tee child in her Because she is alone Many years ago Terrified by a look Which was not meant for her. Brush your heavy fur Against her, long and slow Stare at her like a book, Her interests being such No one can look too much. Tell her how you know Nothing can be taken Which has not been given: For you time is forgiven: Informed by hell and heaven You are not mistaken",Delmore Schwartz,"O Love, Sweet Animal",88,['animal'],http://www.famouspoetsandpoems.com/poets/delmore_schwartz/poems/18333
